assembly_accession,organism_name,infraspecific_name,new_genus,new_species,new_strain,label
GCA_009840445.1,Synechococcus sp. SB0662_bin_14,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009839805.1,Synechococcus sp. SB0662_bin_45,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009839305.1,Synechococcus sp. SB0663_bin_10,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009838425.1,Synechococcus sp. SB0664_bin_36,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009837735.1,Synechococcus sp. SB0665_bin_28,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009837265.1,Synechococcus sp. SB0666_bin_14,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009836155.1,Synechococcus sp. SB0667_bin_8,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009836025.1,Synechococcus sp. SB0668_bin_13,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009835965.1,Synechococcus sp. SB0668_bin_15,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009846095.1,Synechococcus sp. SB0669_bin_7,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
